struct,offset,size_guess,field,label,comment,repeatable_comment,typeinfo_hex
struct_person,0x0,4,fld_0_PersonFuncAddr,PersonFuncAddr,,武将相关函数所在地址(80 C7 79 00),
struct_person,0x4,56,fld_4_NameAndPronunciation,NameAndPronunciation,,姓名字和读音,
struct_person,0x3c,4,fld_3C_PortraitID,PortraitID,,头像ID,0400
struct_person,0x40,4,fld_40_Gender,Gender,,"性别(0=男,1=女)",0400
struct_person,0x44,4,fld_44_YearOfDebut,YearOfDebut,,登场年,0400
struct_person,0x48,4,fld_48_YearOfBirth,YearOfBirth,,出生年,0400
struct_person,0x4c,4,fld_4C_YearOfDeath,YearOfDeath,,死亡年,0400
struct_person,0x50,4,fld_50_CauseOfDeath,CauseOfDeath,,死因,0400
struct_person,0x54,4,fld_54_BloodRelation,BloodRelation,,血缘,0400
struct_person,0x58,4,fld_58_FatherID,FatherID,,父亲ID,0400
struct_person,0x5c,4,fld_5C_MotherID,MotherID,,母亲ID,0400
struct_person,0x60,4,fld_60_SpouseID,SpouseID,,配偶ID,0400
struct_person,0x64,4,fld_64_SwornSiblingID,SwornSiblingID,,义兄弟ID,0400
struct_person,0x68,1,fld_68_Generation,Generation,,世代,0200
struct_person,0x69,1,fld_69_Personality,Personality,,相性,0200
struct_person,0x6a,2,fld_6A_Unknown1,Unknown1,,,0300
struct_person,0x6c,20,fld_6C_IntimatePersonsID,IntimatePersonsID,,亲近武将ID,1b060400
struct_person,0x80,20,fld_80_HatedPersonsID,HatedPersonsID,,厌恶武将ID,1b060400
struct_person,0x94,4,fld_94_Legion,Legion,,军团,0400
struct_person,0x98,4,fld_98_FacilityID,FacilityID,,所属设施ID,0400
struct_person,0x9c,4,fld_9C_Location,Location,,所在,0400
struct_person,0xa0,4,fld_A0_Identity,Identity,,身份,0400
struct_person,0xa4,4,fld_A4_OfficialPosition,OfficialPosition,,官职,0400
struct_person,0xa8,4,fld_A8_ScheduledLord,ScheduledLord,,登场预定君主,0400
struct_person,0xac,2,fld_AC_Loyalty,Loyalty,,忠诚度,0300
struct_person,0xae,2,fld_AE_Merit,Merit,,功勋,0300
struct_person,0xb0,24,fld_B0_BranchAffinities,BranchAffinities,,6个兵科适性,1b070400
struct_person,0xc8,5,fld_C8_FiveBasicValues,FiveBasicValues,,五维基础值,0200
struct_person,0xcd,3,fld_CD_Unknown2,Unknown2,,,
struct_person,0xd0,20,fld_D0_FiveBasicValueChanges,FiveBasicValueChanges,,五维变动,1b060400
struct_person,0xe4,4,fld_E4_Birthplace,Birthplace,,出身,0400
struct_person,0xe8,4,fld_E8_SpecialSkill,SpecialSkill,,特技(无特技是-1),0400
struct_person,0xec,4,fld_EC_SkillfulTopic,SkillfulTopic,,舌战得意话题,0400
struct_person,0xf0,4,fld_F0_Ideals,Ideals,,义理,0400
struct_person,0xf4,4,fld_F4_Ambition,Ambition,,野望,0400
struct_person,0xf8,4,fld_F8_Enabled,Enabled,,启用,0400
struct_person,0xfc,4,fld_FC_PersonalityTrait,PersonalityTrait,,性格,0400
struct_person,0x100,4,fld_100_Voice,Voice,,声音,0400
struct_person,0x104,4,fld_104_Tone,Tone,,口调,0400
struct_person,0x108,4,fld_108_HanDynastyAttention,HanDynastyAttention,,汉室重视,0400
struct_person,0x10c,4,fld_10C_StrategicTendency,StrategicTendency,,战略倾向,0400
struct_person,0x110,4,fld_110_EarthElementTenacity,EarthElementTenacity,,地元执着,0400
struct_person,0x114,12,fld_114_3DModel,3DModel,,3D造型,
struct_person,0x120,4,fld_120_AgeOfPortraitChange,AgeOfPortraitChange,,头像变更年龄,0400
struct_person,0x124,1,fld_124_Flags,Flags,,8个标志位(已行动、已褒奖、死亡预定、舌战五种话术),0200
struct_person,0x125,1,fld_125_Unknown3,Unknown3,,,0200
struct_person,0x126,2,fld_126_Unknown4,Unknown4,,,0300
struct_person,0x128,1,fld_128_Stamina,Stamina,,体力,0200
struct_person,0x129,1,fld_129_Unknown5,Unknown5,,,0200
struct_person,0x12a,10,fld_12A_FiveBasicValueExp,FiveBasicValueExp,,五维经验,1b060300
struct_person,0x134,6,fld_134_BranchAffinityExp,BranchAffinityExp,,6个兵科适性经验,1b070200
struct_person,0x13a,2,fld_13A_Unknown6,Unknown6,,,0300
struct_person,0x13c,4,fld_13C_Mission,Mission,,"任务(无任务是-1,任务编码从0～43)",0400
struct_person,0x140,20,fld_140_MissionParameters,MissionParameters,,任务对象参数共5个,1b060400
struct_person,0x154,4,fld_154_Unknown7,Unknown7,,,0400
struct_person,0x158,4,fld_158_StayCount,StayCount,,留守计数,0400
struct_person,0x15c,4,fld_15C_HealthLevel,HealthLevel,,健康程度,0400
struct_person,0x160,4,fld_160_FormerAllegiance,FormerAllegiance,,旧势力,0400
struct_person,0x164,4,fld_164_ForbiddenRuler,ForbiddenRuler,,禁止仕官君主,0400
struct_person,0x168,1,fld_168_ForbiddenMonths,ForbiddenMonths,,禁止仕官月数,0200
struct_person,0x169,1,fld_169_CaptiveMonths,CaptiveMonths,,俘虏月数,0200
struct_person,0x16a,2,fld_16A_Unknown8,Unknown8,,,0300
struct_person,0x16c,4,fld_16C_Unknown9,Unknown9,,,0400
struct_person,0x170,5,fld_170_InjuryDisplayValues,InjuryDisplayValues,,五维受伤影响的显示值,1b060200
struct_person,0x175,5,fld_175_UninjuredDisplayValues,UninjuredDisplayValues,,五维不受伤影响的显示值,1b060200
struct_person,0x17a,2,fld_17A_Unknown10,Unknown10,,,0300
struct_person,0x17c,,fld_17C_Unknown11,Unknown11,,,
